author,language,level,level_grammar,level_ortography,level_vocabulary_range,level_vocabulary_control,level_coherence,level_appropriateness,text,text_target,score,cefr,model_input
1071_0248314,1,0,1,1,1,1,1,1,"Liebe Daniela Hallo Daniela wi geht es hir ich habe dich angerufen zu Hause du war nicht zu Hause. ich möchte gerne. am wochnenden bei schwimmen gehen Ich was nicht wen du Arbeit bis. bitte schreibst du mich zurück, wen du Zeit hast dissen wochen enden. wir können zu . schwimmen zusammen gehen. Danke ich warte. deine antwort Grüß Eva","Liebe Daniela ! Hallo Daniela , wie geht es hier ? Ich habe dich angerufen zu Hause , du warst nicht zu Hause . Ich möchte gerne am Wochenende Schwimmen gehen . Ich weiß nicht , wenn du auf Arbeit bist . Schreibst du mir bitte zurück , wenn du dieses Wochenende Zeit hast . Wir können zum Schwimmen zusammen gehen . Danke . Ich warte auf deine Antwort . Grüß Eva",2.0,A1,"CEFR Level: A1

Answer:
Liebe Daniela Hallo Daniela wi geht es hir ich habe dich angerufen zu Hause du war nicht zu Hause. ich möchte gerne. am wochnenden bei schwimmen gehen Ich was nicht wen du Arbeit bis. bitte schreibst du mich zurück, wen du Zeit hast dissen wochen enden. wir können zu . schwimmen zusammen gehen. Danke ich warte. deine antwort Grüß Eva"
1023_0103880,1,3,3,4,3,3,3,3,"Friedrich Müller Zentralplatz 1 12345 STADT X Computer-Spezialist Odenwaldstraße 5 53119 Bonn 03.07.2010. Stadt X Betreff: Bewerbung - Vertriebspraktikant Sehr geehrte Damen und Herren, ich habe Ihre Anzeige für ein Praktikum in der Website www.firma x.de gesehen. Ich bewerbe mich mit hoch Interesse für dieser Praktikum. Seit 2005 beschäftige ich mit den IT relevanten Themen in der Schule und auch auch in der Freizeit. In 2009 habe ich in der Volkshochschule einen Kurs über die Betriebswirtschaftslehre gemacht. Wir haben in der Schule eine Woche Workshop über elektronischer Datenverbindung gehabt. Ich finde diese Thema sehr interessant. Ich sehe die Praktikum als eine Chance meine Kentnisse weiter zu verbessern. Ich bin sehr aktiv in Freizeitaktivitäten und gehe ich gerne zu menschen. Eine Vertriebspraktikum passt sehr gut für meine mentalität. Ich möchte gerne bei Ihnen persönlich alle Infos in meinen Lebenslauf vorstellen. Ich warte auf Ihre Antwort. Mit freundlichen Grüßen, Friedrich Müller","Friedrich Müller Zentralplatz 1 12345 STADT X Computer-Spezialist Odenwaldstraße 5 53119 Bonn 03.07.2010 . Stadt X Betreff : Bewerbung - Vertriebspraktikant Sehr geehrte Damen und Herren , ich habe Ihre Anzeige für ein Praktikum in der Website www . firma x . de gesehen . Ich bewerbe mich mit hohem Interesse für dieses Praktikum . Seit 2005 beschäftige ich mich mit den IT - relevanten Themen in der Schule und auch auch in der Freizeit . 2009 habe ich in der Volkshochschule einen Kurs über die Betriebswirtschaftslehre gemacht . Wir haben in der Schule eine Woche einen Workshop über elektronische Datenverbindung gehabt . Ich finde dieses Thema sehr interessant . Ich sehe das Praktikum als eine Chance , meine Kenntnisse weiter zu verbessern . Ich bin sehr aktiv in den Freizeitaktivitäten und gehe gerne zu Menschen . Ein Vertriebspraktikum passt sehr gut für meine Mentalität . Ich möchte gerne bei Ihnen persönlich alle Infos in meinen Lebenslauf vorstellen . Ich warte auf Ihre Antwort . Mit freundlichen Grüßen , Friedrich Müller",6.333333333333333,B2,"CEFR Level: B2

Answer:
Friedrich Müller Zentralplatz 1 12345 STADT X Computer-Spezialist Odenwaldstraße 5 53119 Bonn 03.07.2010. Stadt X Betreff: Bewerbung - Vertriebspraktikant Sehr geehrte Damen und Herren, ich habe Ihre Anzeige für ein Praktikum in der Website www.firma x.de gesehen. Ich bewerbe mich mit hoch Interesse für dieser Praktikum. Seit 2005 beschäftige ich mit den IT relevanten Themen in der Schule und auch auch in der Freizeit. In 2009 habe ich in der Volkshochschule einen Kurs über die Betriebswirtschaftslehre gemacht. Wir haben in der Schule eine Woche Workshop über elektronischer Datenverbindung gehabt. Ich finde diese Thema sehr interessant. Ich sehe die Praktikum als eine Chance meine Kentnisse weiter zu verbessern. Ich bin sehr aktiv in Freizeitaktivitäten und gehe ich gerne zu menschen. Eine Vertriebspraktikum passt sehr gut für meine mentalität. Ich möchte gerne bei Ihnen persönlich alle Infos in meinen Lebenslauf vorstellen. Ich warte auf Ihre Antwort. Mit freundlichen Grüßen, Friedrich Müller"
1031_0003132,1,4,3,3,4,4,4,3,"Ist Deutschlernen sinnvoll? Ich halte Deutschlernen für sinnvoll, weil ich in Deutschland lebe. Aber Deutsch ist nicht nur in Deutschland gesprochen, sondern auch in Österreich und in die Schweiz. In den Niederlände ist die Sprache auch ein Bisschen ähnlich zu Deutsch. Als ich in den ersten Mal in Tscheschien war, habe ich bemerkt, dass nur ein Paar Leute Englisch sprechen könnten. Wärhend meiner nächsten Reise merkte ich, dass viele Leute dort Deutsch verstehen und sprechen konnen.! Wenn man mit Deutschkenntnisse durch so viele Länder reisen kann und mit die Leute in diesen Ländern sprechen kann, ist es selbstverstandlich „nützlich"" und „sinnvoll"" Deutsch zu lernen. Die Deutsche Wirtschaft ist auch sehr stark und mehrere Leute in anderen Länder lernen Deutsch um mit Deutsche Geschäfte besser zu komunizieren. Ich finde es besonderes wichtig, die Sprache von dem Land in dem ich lebe, zu lernen. Nützlich ist nur nützlich, wenn man es benützen kann! Ich und viele andere Auslanders benützen Deutsch jeden Tag um ein normale Leben zu führen. Vielleicht sprechen mehr Menschen weltweit Englisch, Französisch und Spanisch aber Deutsch ist in einem großen Teil der Welt gesprochen. Zussamenfassend halte ich Deutschlernen für sinnvoll, weil ich Deutsch für täglichen Leben brauche und, weil ich mit Deutsch mit den Menschen in mehreren Landern in Europa komunizieren kann.","Ist Deutschlernen sinnvoll ? Ich halte Deutschlernen für sinnvoll , weil ich in Deutschland lebe . Aber Deutsch ist nicht nur in Deutschland gesprochen , sondern auch in Österreich und in der Schweiz . In den Niederlanden ist die Sprache auch ein bisschen ähnlich zu Deutsch . Als ich das erste Mal in Tschechien war , habe ich bemerkt , dass nur ein paar Leute Englisch sprechen könnten . Während meiner nächsten Reise merkte ich , dass viele Leute dort Deutsch verstehen und sprechen können . Wenn man mit Deutschkenntnissen durch so viele Länder reisen kann und mit den Leuten in diesen Ländern sprechen kann , ist es selbstverständlich "" nützlich "" und "" sinnvoll "" , Deutsch zu lernen . Die deutsche Wirtschaft ist auch sehr stark und mehrere Leute in anderen Ländern lernen Deutsch , um mit deutschen Geschäften besser zu kommunizieren . Ich finde es besonders wichtig , die Sprache von dem Land , in dem ich lebe , zu lernen . Nützlich ist nur nützlich , wenn man es benützen kann ! Ich und viele andere Ausländer benützen Deutsch jeden Tag , um ein normales Leben zu führen . Vielleicht sprechen mehr Menschen weltweit Englisch , Französisch und Spanisch , aber Deutsch ist in einem großen Teil der Welt gesprochen . Zussamenfassend halte ich Deutschlernen für sinnvoll , weil ich Deutsch für das tägliche Leben brauche und weil ich mit Deutsch mit den Menschen in mehreren Ländern in Europa kommunizieren kann .",7.0,C1,"CEFR Level: C1

Answer:
Ist Deutschlernen sinnvoll? Ich halte Deutschlernen für sinnvoll, weil ich in Deutschland lebe. Aber Deutsch ist nicht nur in Deutschland gesprochen, sondern auch in Österreich und in die Schweiz. In den Niederlände ist die Sprache auch ein Bisschen ähnlich zu Deutsch. Als ich in den ersten Mal in Tscheschien war, habe ich bemerkt, dass nur ein Paar Leute Englisch sprechen könnten. Wärhend meiner nächsten Reise merkte ich, dass viele Leute dort Deutsch verstehen und sprechen konnen.! Wenn man mit Deutschkenntnisse durch so viele Länder reisen kann und mit die Leute in diesen Ländern sprechen kann, ist es selbstverstandlich „nützlich"" und „sinnvoll"" Deutsch zu lernen. Die Deutsche Wirtschaft ist auch sehr stark und mehrere Leute in anderen Länder lernen Deutsch um mit Deutsche Geschäfte besser zu komunizieren. Ich finde es besonderes wichtig, die Sprache von dem Land in dem ich lebe, zu lernen. Nützlich ist nur nützlich, wenn man es benützen kann! Ich und viele andere Auslanders benützen Deutsch jeden Tag um ein normale Leben zu führen. Vielleicht sprechen mehr Menschen weltweit Englisch, Französisch und Spanisch aber Deutsch ist in einem großen Teil der Welt gesprochen. Zussamenfassend halte ich Deutschlernen für sinnvoll, weil ich Deutsch für täglichen Leben brauche und, weil ich mit Deutsch mit den Menschen in mehreren Landern in Europa komunizieren kann."
1061_0120497,1,2,2,4,3,2,3,3,"Stadt X, 13.3.2012 Lieber Michael, Die Silvesternacht hat mir leider kein Spaß gemacht, weil ich krank war. Was für ein Pech! Ich bin ganz nach dem Neujahr ins Bett gegangen. Deswegen ist mein Wunsch für das neue Jahr klar: mehr Gesundheit! Und natürlich viel Glück mit der Arbeit. Dein Brief hat aber mich so sehr gefreut! Es ist super, dass du schon fast fertig mit deiner Ausbildung bist. Lust, dich zu treffen? Natürlich habe ich Lust! Zur Zeit habe ich leider nicht viel Zeit für Freunde gehabt, wegen der Arbeit. Aber glücklicherweise habe ich jetzt mehr Zeit, ein bisschen mich zu unterhalten. Außerdem, Neustadt ist nicht weitweg von hier. Geht es dir, zum Beispiel nächsten Monat uns zu treffen? Es wäre echt toll. Bei meiner Arbeit geht es gar nicht gut. Ich finde sie doch langweilig, und ich will eigentlich sie andern, aber mal schauen. Schreib mir bald, und sag mir, ob du endlich mich nachsten Monat treffen kannst. Liebe Grüße Friedrich","Stadt X , 13.3.2012 Lieber Michael ! Die Silvesternacht hat mir leider keinen Spaß gemacht , weil ich krank war . Was für ein Pech ! Ich bin ganz nach dem Neujahr ins Bett gegangen . Deswegen ist mein Wunsch für das neue Jahr klar : mehr Gesundheit ! Und natürlich viel Glück mit der Arbeit . Dein Brief hat mich aber so sehr gefreut ! Es ist super , dass du schon fast fertig mit deiner Ausbildung bist . Lust , dich zu treffen ? Natürlich habe ich Lust ! Zur Zeit habe ich leider nicht viel Zeit für Freunde gehabt , wegen der Arbeit . Aber glücklicherweise habe ich jetzt mehr Zeit , mich ein bisschen zu unterhalten . Außerdem , Neustadt ist nicht weit weg von hier . Geht es bei dir zum Beispiel , uns nächsten Monat zu treffen ? Es wäre echt toll . Bei meiner Arbeit geht es gar nicht gut . Ich finde sie doch langweilig , und ich will sie eigentlich ändern , aber mal schauen . Schreib mir bald , und sag mir , ob du mich endlich nächsten Monat treffen kannst . Liebe Grüße Friedrich",5.666666666666666,B1,"CEFR Level: B1

Answer:
Stadt X, 13.3.2012 Lieber Michael, Die Silvesternacht hat mir leider kein Spaß gemacht, weil ich krank war. Was für ein Pech! Ich bin ganz nach dem Neujahr ins Bett gegangen. Deswegen ist mein Wunsch für das neue Jahr klar: mehr Gesundheit! Und natürlich viel Glück mit der Arbeit. Dein Brief hat aber mich so sehr gefreut! Es ist super, dass du schon fast fertig mit deiner Ausbildung bist. Lust, dich zu treffen? Natürlich habe ich Lust! Zur Zeit habe ich leider nicht viel Zeit für Freunde gehabt, wegen der Arbeit. Aber glücklicherweise habe ich jetzt mehr Zeit, ein bisschen mich zu unterhalten. Außerdem, Neustadt ist nicht weitweg von hier. Geht es dir, zum Beispiel nächsten Monat uns zu treffen? Es wäre echt toll. Bei meiner Arbeit geht es gar nicht gut. Ich finde sie doch langweilig, und ich will eigentlich sie andern, aber mal schauen. Schreib mir bald, und sag mir, ob du endlich mich nachsten Monat treffen kannst. Liebe Grüße Friedrich"
1023_0109033,1,3,3,4,4,4,4,4,"Maria Winkelmann AB 12 1234 Stadt X Au-pair-Agentur S&P Regenstr. 101 09451 Nürnberg Stadt X, den 18. August 11 Forderung einer Entschädigung Sehr geehrte Damen und Herren, als ich Ihre Anzeige gelesen habe, war ich sofort begeistert, da ich schon immer Au-pair sein wollte. Deshalb habe ich mich sofort für drei Monaten bei Ihnen angemeldet. In Ihrer Anzeige stand, dass Sie gute Beratung, Betreuung und Konditionen anbieten. Leider entsprach es nicht der Realität. Erstens war ich sehr enttäuscht, dass meine Familie nicht mit mir sprach. Deshalb hatte ich wenige Möglichkeiten um Deutsch zu sprechen. Ausserdem hatte ich ein Problem mit der Verkehrsmittel. Ich musste jeder Tag zu Fuß in die Schule gehen. Die Familie hat mir kein Auto geleihen, wie Sie mir versprochen haben, deshalb finde ich es unzumutbar. Weiterhin war ich sehr verärgert, da das Essen nicht gut geschmeckt hat. Ich habe nicht viel gegessen, deshalb musste ich noch ein mal in der Stadt essen. Aus den oben genannten Gründen möchte ich Sie bitte, mir eine Entschädigung von 200 € zukommen zu lassen. Mit freundlichen Grüssen Maria Winkelmann","Maria Winkelmann AB 12 1234 Stadt X Au-pair-Agentur S & P Regenstr . 101 09451 Nürnberg Stadt X , den 18 . August 11 Forderung einer Entschädigung Sehr geehrte Damen und Herren , als ich Ihre Anzeige gelesen habe , war ich sofort begeistert , da ich schon immer Au-pair sein wollte . Deshalb habe ich mich sofort für drei Monate bei Ihnen angemeldet . In Ihrer Anzeige stand , dass Sie gute Beratung , Betreuung und Konditionen anbieten . Leider entsprach es nicht der Realität . Erstens war ich sehr enttäuscht , dass meine Familie nicht mit mir sprach . Deshalb hatte ich wenige Möglichkeiten , Deutsch zu sprechen . Außerdem hatte ich ein Problem mit dem Verkehrsmittel . Ich musste jeden Tag zu Fuß in die Schule gehen . Die Familie hat mir kein Auto geliehen , wie Sie mir versprochen haben , deshalb finde ich es unzumutbar . Weiterhin war ich sehr verärgert , da das Essen nicht gut geschmeckt hat . Ich habe nicht viel gegessen , deshalb musste ich noch einmal in der Stadt essen . Aus den oben genannten Gründen möchte ich Sie bitten , mir eine Entschädigung von 200 € zukommen zu lassen . Mit freundlichen Grüssen Maria Winkelmann",7.666666666666667,B2,"CEFR Level: B2

Answer:
Maria Winkelmann AB 12 1234 Stadt X Au-pair-Agentur S&P Regenstr. 101 09451 Nürnberg Stadt X, den 18. August 11 Forderung einer Entschädigung Sehr geehrte Damen und Herren, als ich Ihre Anzeige gelesen habe, war ich sofort begeistert, da ich schon immer Au-pair sein wollte. Deshalb habe ich mich sofort für drei Monaten bei Ihnen angemeldet. In Ihrer Anzeige stand, dass Sie gute Beratung, Betreuung und Konditionen anbieten. Leider entsprach es nicht der Realität. Erstens war ich sehr enttäuscht, dass meine Familie nicht mit mir sprach. Deshalb hatte ich wenige Möglichkeiten um Deutsch zu sprechen. Ausserdem hatte ich ein Problem mit der Verkehrsmittel. Ich musste jeder Tag zu Fuß in die Schule gehen. Die Familie hat mir kein Auto geleihen, wie Sie mir versprochen haben, deshalb finde ich es unzumutbar. Weiterhin war ich sehr verärgert, da das Essen nicht gut geschmeckt hat. Ich habe nicht viel gegessen, deshalb musste ich noch ein mal in der Stadt essen. Aus den oben genannten Gründen möchte ich Sie bitte, mir eine Entschädigung von 200 € zukommen zu lassen. Mit freundlichen Grüssen Maria Winkelmann"
1061_0120386,1,2,0,1,1,1,0,1,"Liebe Dana, ich Besuche auch, nach Istanbul fahren. Die Stadt so interessant für mich auch und viele Spaß, schönes Wetter. Glückwunsch zur bestanden du hast Prüfung gut gemacht, wunderbar. ich wünsche etwas aus istanbul, eine schöne Jacke und ein frische Brot. Ihre Verwandten die schon seit 10 jahren in istanbul leben. Es ist schön, wenn man verwandte im Ausland hat, die man ab und zu besuchen kann ... Bis bald.... Viele Grüße Maria","Liebe Dana , ich besuche euch , fahre nach Istanbul . Die Stadt ist auch so interessant für mich und ich habe viel Spaß , schönes Wetter . Glückwunsch zur bestandenen Prüfung , das hast du gut gemacht , wunderbar . Ich wünsche mir etwas aus Istanbul , eine schöne Jacke und ein frisches Brot . Ihre Verwandten , die schon seit 10 Jahren in Istanbul leben . Es ist schön , wenn man Verwandte im Ausland hat , die man ab und zu besuchen kann ... Bis bald .... Viele Grüße Maria",1.3333333333333333,B1,"CEFR Level: B1

Answer:
Liebe Dana, ich Besuche auch, nach Istanbul fahren. Die Stadt so interessant für mich auch und viele Spaß, schönes Wetter. Glückwunsch zur bestanden du hast Prüfung gut gemacht, wunderbar. ich wünsche etwas aus istanbul, eine schöne Jacke und ein frische Brot. Ihre Verwandten die schon seit 10 jahren in istanbul leben. Es ist schön, wenn man verwandte im Ausland hat, die man ab und zu besuchen kann ... Bis bald.... Viele Grüße Maria"
1091_0000025,1,1,1,1,1,1,1,1,"Stadt X, 04.01.2012 Sehr geerte Damen und Herren Ich suhe eine Wonung, ein Zimmer 45 kb.m². mit Badewanne, der Balkon und GroBe Kühe. Ich danke Ihnen im varaus mit freundlich Grüßen.","Stadt X , 04.01.2012 Sehr geehrte Damen und Herren , ich suche eine Wohnung , ein Zimmer mit 45 m ² , mit Badewanne , dem Balkon und großer Küche . Ich danke Ihnen im Voraus . Mit freundlichen Grüßen",2.0,A2,"CEFR Level: A2

Answer:
Stadt X, 04.01.2012 Sehr geerte Damen und Herren Ich suhe eine Wonung, ein Zimmer 45 kb.m². mit Badewanne, der Balkon und GroBe Kühe. Ich danke Ihnen im varaus mit freundlich Grüßen."
1071_0024853,1,0,1,2,1,0,0,0,"Hallo Jens, ich habe deine Novität gehort. Glückwünsche für du und deine Frau! wie heisst der Baby? Ist ein männlich oder eine weiblich? Wie geht der Mutter und der Baby? Viele grusse, Katharina","Hallo Jens , ich habe deine Novität gehört . Glückwünsche für dich und deine Frau ! Wie heisst das Baby ? Ist es männlich oder weiblich ? Wie geht es der Mutter und dem Baby ? Viele Grüsse , Katharina",1.3333333333333333,A1,"CEFR Level: A1

Answer:
Hallo Jens, ich habe deine Novität gehort. Glückwünsche für du und deine Frau! wie heisst der Baby? Ist ein männlich oder eine weiblich? Wie geht der Mutter und der Baby? Viele grusse, Katharina"
1023_0104209,1,3,3,3,3,3,3,3,"Maria Meier, Bahnhofsstraße 6, 12345 Stadt X Internationale Au-pair Vermittlung Bahnhofstrasse 101, 65185 Wiesbaden Stadt Y, 14.08.2010- Die Fragen über die Internationale Au-pair Vermittlung Sehr geehrte Damen und Herren Ich beziehe mich auf Ihr Inserat. Vor drei Monaten habe ich meine Schule in XY fertig gemacht. Ich habe Spanisch studiert und jetzt habe ich viele Interesse meine aussprache zu verbesseren. Eine gute Idee ist nach Europa zu gehen. Mit Ihre Agentur kann ich hoffentlich einen Job finden und am Wochenende die Spanisch Schule zu besuchen. Jetzt habe ich eine Frage. Geht das wenn ich am Wochenende frei bin? Mit die Familie kann ich verschiedene Sprache nützen (Deutsch, Englisch, Spanisch...). Am besten für mich ist wenn ich eine deutsch-sprächige Familie bekomme, und wenn ich frei bin kann ich Spanisch verbesseren. Ich Interessiere mich auch in meinen Rechte und Pflichten. Ich muss sicher sein ob die Familie bezahlt mir immer und wie das geht wenn sie sind nicht so gut zu mir. Auch wenn die Familie die Kinder hat, was muss ich machen?`Drausen gehen, kochen, spatzieren, putzen? Ich freue mich sehr über Ihre schnelle Antwort. Danke Ihnen im Voraus. Mit Freundlichen Grüssen Maria Meier","Maria Meier , Bahnhofsstraße 6 , 12345 Stadt X Internationale Au-pair Vermittlung Bahnhofstrasse 101 , 65185 Wiesbaden Stadt Y , 14.08.2010 - Die Fragen an die internationale Au-pair- Vermittlung Sehr geehrte Damen und Herren ! Ich beziehe mich auf Ihr Inserat . Vor drei Monaten habe ich meine Schule in XY fertig gemacht . Ich habe Spanisch studiert und jetzt habe ich viel Interesse , meine Aussprache zu verbesseren . Eine gute Idee ist , nach Europa zu gehen . Mit Ihrer Agentur kann ich hoffentlich einen Job finden und am Wochenende die Spanisch-Schule besuchen . Jetzt habe ich eine Frage . Geht das , wenn ich am Wochenende frei bin ? Mit der Familie kann ich verschiedene Sprachen nützen ( Deutsch , Englisch , Spanisch , ... ) . Am besten für mich ist , wenn ich eine deutschsprachige Familie bekomme , und wenn ich frei bin , kann ich mein Spanisch verbesseren . Ich Interessiere mich auch für meine Rechte und Pflichten . Ich muss sicher sein , dass mir die Familie immer bezahlt , und wie das geht , wenn sie nicht so gut zu mir sind . Auch wenn die Familie Kinder hat , was muss ich machen ? ` Nach draußen gehen , kochen , spazieren , putzen ? Ich freue mich sehr über Ihre schnelle Antwort . Danke Ihnen im Voraus . Mit freundlichen Grüssen Maria Meier",6.0,B2,"CEFR Level: B2

Answer:
Maria Meier, Bahnhofsstraße 6, 12345 Stadt X Internationale Au-pair Vermittlung Bahnhofstrasse 101, 65185 Wiesbaden Stadt Y, 14.08.2010- Die Fragen über die Internationale Au-pair Vermittlung Sehr geehrte Damen und Herren Ich beziehe mich auf Ihr Inserat. Vor drei Monaten habe ich meine Schule in XY fertig gemacht. Ich habe Spanisch studiert und jetzt habe ich viele Interesse meine aussprache zu verbesseren. Eine gute Idee ist nach Europa zu gehen. Mit Ihre Agentur kann ich hoffentlich einen Job finden und am Wochenende die Spanisch Schule zu besuchen. Jetzt habe ich eine Frage. Geht das wenn ich am Wochenende frei bin? Mit die Familie kann ich verschiedene Sprache nützen (Deutsch, Englisch, Spanisch...). Am besten für mich ist wenn ich eine deutsch-sprächige Familie bekomme, und wenn ich frei bin kann ich Spanisch verbesseren. Ich Interessiere mich auch in meinen Rechte und Pflichten. Ich muss sicher sein ob die Familie bezahlt mir immer und wie das geht wenn sie sind nicht so gut zu mir. Auch wenn die Familie die Kinder hat, was muss ich machen?`Drausen gehen, kochen, spatzieren, putzen? Ich freue mich sehr über Ihre schnelle Antwort. Danke Ihnen im Voraus. Mit Freundlichen Grüssen Maria Meier"
1023_0107788,1,3,2,3,3,3,3,3,"Eva Meier Zentralplatz 1 12345 Stadt X Aupairsglobal Bahnhof str. 101, 65185 Wiesbaden 26.4.2011 Ihre Anzeige im Internet vom 24.4.2011 Sehr geehrte Damen und Herren, ich interessiere mich für Ihre Anzeige als Aupair. Ich möchte noch etwas über Au-pair wissen. ich hieße Eva. Ich komme aus Indien. Jetzt lerne ich Deutsch in der Akademie Klausenhof Ich lerne Deutsch, weil ich in Deutschland studieren und arbeiten möchte. Meine Freundin hat mir gesagt, Wenn ich gute Sprache haben möchte, musse ich 1 Jahr als Aupair arbeiten - Ich weiß es nicht, ob es möglich ist? Ich möchte wissen, ob diese Familie oder Personen genau Hilfbereits sind? Gibt es ein möglichkeiten Deutsche Sprache zu lernen? Wenn ich als Au-pair arbeiten, muss ich immer arbeiten oder konnte ich meine, Zeit freizeitaktivitäten auch benutzen? Ich glauben, dass, ich mit diese arbeit nicht nur meine Sprache verbessen konnte, sondern auch konnte ich Deutsche Kulture und neue Fremde Leute auch kennen lernen? Ich habe noch Fragen, Wass soll ich machen, wenn ich eine Stelle als Au-pair bekommen möchte. Soll ich eine Bewerbung schreiben oder Muss ich in Ihre Firma kommen? Ich wäre dankbar, wenn Sie mir baldige Antwort geben könnten. Mit freundlichen Grüßen Eva Meier","Eva Meier Zentralplatz 1 12345 Stadt X Aupairsglobal Bahnhofstr . 101 65185 Wiesbaden 26.4.2011 Ihre Anzeige im Internet vom 24.4.2011 Sehr geehrte Damen und Herren , ich interessiere mich für Ihre Anzeige als Aupair . Ich möchte noch etwas über Au-pair wissen . Ich heiße Eva . Ich komme aus Indien . Jetzt lerne ich Deutsch in der Akademie Klausenhof . Ich lerne Deutsch , weil ich in Deutschland studieren und arbeiten möchte . Meine Freundin hat mir gesagt , wenn ich eine gute Sprache haben möchte , muss ich 1 Jahr als Aupair arbeiten . Ich weiß nicht , ob es möglich ist ? Ich möchte wissen , ob diese Familie oder Personen genau hilfsbereit sind ? Gibt es die Möglichkeiten , die deutsche Sprache zu lernen ? Wenn ich als Au-pair arbeite , muss ich immer arbeiten oder konnte ich meine Zeit auch für Freizeitaktivitäten benutzen ? Ich glauben , dass ich mit dieser Arbeit nicht nur meine Sprache verbessern konnte , sondern auch die deutsche Kultur und neue fremde Leute kennenlernen konnte . Ich habe noch Fragen , was soll ich machen , wenn ich eine Stelle als Au-pair bekommen möchte ? Soll ich eine Bewerbung schreiben oder muss ich in Ihre Firma kommen ? Ich wäre dankbar , wenn Sie mir eine baldige Antwort geben könnten . Mit freundlichen Grüßen Eva Meier",5.666666666666666,B2,"CEFR Level: B2

Answer:
Eva Meier Zentralplatz 1 12345 Stadt X Aupairsglobal Bahnhof str. 101, 65185 Wiesbaden 26.4.2011 Ihre Anzeige im Internet vom 24.4.2011 Sehr geehrte Damen und Herren, ich interessiere mich für Ihre Anzeige als Aupair. Ich möchte noch etwas über Au-pair wissen. ich hieße Eva. Ich komme aus Indien. Jetzt lerne ich Deutsch in der Akademie Klausenhof Ich lerne Deutsch, weil ich in Deutschland studieren und arbeiten möchte. Meine Freundin hat mir gesagt, Wenn ich gute Sprache haben möchte, musse ich 1 Jahr als Aupair arbeiten - Ich weiß es nicht, ob es möglich ist? Ich möchte wissen, ob diese Familie oder Personen genau Hilfbereits sind? Gibt es ein möglichkeiten Deutsche Sprache zu lernen? Wenn ich als Au-pair arbeiten, muss ich immer arbeiten oder konnte ich meine, Zeit freizeitaktivitäten auch benutzen? Ich glauben, dass, ich mit diese arbeit nicht nur meine Sprache verbessen konnte, sondern auch konnte ich Deutsche Kulture und neue Fremde Leute auch kennen lernen? Ich habe noch Fragen, Wass soll ich machen, wenn ich eine Stelle als Au-pair bekommen möchte. Soll ich eine Bewerbung schreiben oder Muss ich in Ihre Firma kommen? Ich wäre dankbar, wenn Sie mir baldige Antwort geben könnten. Mit freundlichen Grüßen Eva Meier"
